[info] welcome to sbt 1.7.1 (N/A Java 18.0.2)
[info] loading settings for project xodus32-5s-build from plugins.sbt ...
[info] loading project definition from /home/cybergai/Repositories/my-repositories/XODUS32-5S/project
[info] loading settings for project root from build.sbt ...
[info] set current project to XODUS32-5S (in build file:/home/cybergai/Repositories/my-repositories/XODUS32-5S/)
PC: 00000020, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000024, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000028, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 0000002c, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000030, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000034, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000038, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 0000003c, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000040, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000044, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000048, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 0000004c, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000050, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000054, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000058, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 0000005c, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000060, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000064, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000068, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 0000006c, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000070, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000074, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
[info] SimulationTest:
[info] - Simulation
[info] Run completed in 10 seconds, 527 milliseconds.
[info] Total number of tests run: 1
[info] Suites: completed 1, aborted 0
[info] Tests: succeeded 1, failed 0, canceled 0, ignored 0, pending 0
[info] All tests passed.
[success] Total time: 13 s, completed Aug 12, 2022, 3:11:08 PM
